id,breed
0,affenpinscher
1,affenpinscher
2,affenpinscher
3,affenpinscher
4,affenpinscher
5,affenpinscher
6,affenpinscher
7,affenpinscher
8,affenpinscher
9,affenpinscher
10,affenpinscher
11,affenpinscher
12,affenpinscher
13,affenpinscher
14,affenpinscher
15,affenpinscher
16,affenpinscher
17,affenpinscher
18,affenpinscher
19,affenpinscher
20,affenpinscher
21,affenpinscher
22,affenpinscher
23,affenpinscher
24,affenpinscher
25,affenpinscher
26,affenpinscher
27,affenpinscher
28,affenpinscher
29,affenpinscher
30,affenpinscher
31,affenpinscher
32,affenpinscher
33,affenpinscher
34,affenpinscher
35,affenpinscher
36,affenpinscher
37,affenpinscher
38,affenpinscher
39,affenpinscher
40,affenpinscher
41,affenpinscher
42,affenpinscher
43,affenpinscher
44,affenpinscher
45,affenpinscher
46,affenpinscher
47,affenpinscher
48,affenpinscher
49,affenpinscher
50,affenpinscher
51,affenpinscher
52,affenpinscher
53,affenpinscher
54,affenpinscher
55,affenpinscher
56,affenpinscher
57,affenpinscher
58,affenpinscher
59,affenpinscher
60,afghan_hound
61,afghan_hound
62,afghan_hound
63,afghan_hound
64,afghan_hound
65,afghan_hound
66,afghan_hound
67,afghan_hound
68,afghan_hound
69,afghan_hound
70,afghan_hound
71,afghan_hound
72,afghan_hound
73,afghan_hound
74,afghan_hound
75,afghan_hound
76,afghan_hound
77,afghan_hound
78,afghan_hound
79,afghan_hound
80,afghan_hound
81,afghan_hound
82,afghan_hound
83,afghan_hound
84,afghan_hound
85,afghan_hound
86,afghan_hound
87,afghan_hound
88,afghan_hound
89,afghan_hound
90,afghan_hound
91,afghan_hound
92,afghan_hound
93,afghan_hound
94,afghan_hound
95,afghan_hound
96,afghan_hound
97,afghan_hound
98,afghan_hound
99,afghan_hound
100,afghan_hound
101,afghan_hound
102,afghan_hound
103,afghan_hound
104,afghan_hound
105,afghan_hound
106,afghan_hound
107,afghan_hound
108,afghan_hound
109,afghan_hound
110,afghan_hound
111,afghan_hound
112,afghan_hound
113,afghan_hound
114,afghan_hound
115,afghan_hound
116,afghan_hound
117,afghan_hound
118,afghan_hound
119,afghan_hound
120,airedale_terrier
121,airedale_terrier
122,airedale_terrier
123,airedale_terrier
124,airedale_terrier
125,airedale_terrier
126,airedale_terrier
127,airedale_terrier
128,airedale_terrier
129,airedale_terrier
130,airedale_terrier
131,airedale_terrier
132,airedale_terrier
133,airedale_terrier
134,airedale_terrier
135,airedale_terrier
136,airedale_terrier
137,airedale_terrier
138,airedale_terrier
139,airedale_terrier
140,airedale_terrier
141,airedale_terrier
142,airedale_terrier
143,airedale_terrier
144,airedale_terrier
145,airedale_terrier
146,airedale_terrier
147,airedale_terrier
148,airedale_terrier
149,airedale_terrier
150,airedale_terrier
151,airedale_terrier
152,airedale_terrier
153,airedale_terrier
154,airedale_terrier
155,airedale_terrier
156,airedale_terrier
157,airedale_terrier
158,airedale_terrier
159,airedale_terrier
160,airedale_terrier
161,airedale_terrier
162,airedale_terrier
163,airedale_terrier
164,airedale_terrier
165,airedale_terrier
166,airedale_terrier
167,airedale_terrier
168,airedale_terrier
169,airedale_terrier
170,airedale_terrier
171,airedale_terrier
172,airedale_terrier
173,airedale_terrier
174,airedale_terrier
175,airedale_terrier
176,airedale_terrier
177,airedale_terrier
178,airedale_terrier
179,airedale_terrier
180,akita
181,akita
182,akita
183,akita
184,akita
185,akita
186,akita
187,akita
188,akita
189,akita
190,akita
191,akita
192,akita
193,akita
194,akita
195,akita
196,akita
197,akita
198,akita
199,akita
200,akita
201,akita
202,akita
203,akita
204,akita
205,akita
206,akita
207,akita
208,akita
209,akita
210,akita
211,akita
212,akita
213,akita
214,akita
215,akita
216,akita
217,akita
218,akita
219,akita
220,akita
221,akita
222,akita
223,akita
224,akita
225,akita
226,akita
227,akita
228,akita
229,akita
230,akita
231,akita
232,akita
233,akita
234,akita
235,akita
236,akita
237,akita
238,akita
239,akita
240,alaskan_malamute
241,alaskan_malamute
242,alaskan_malamute
243,alaskan_malamute
244,alaskan_malamute
245,alaskan_malamute
246,alaskan_malamute
247,alaskan_malamute
248,alaskan_malamute
249,alaskan_malamute
250,alaskan_malamute
251,alaskan_malamute
252,alaskan_malamute
253,alaskan_malamute
254,alaskan_malamute
255,alaskan_malamute
256,alaskan_malamute
257,alaskan_malamute
258,alaskan_malamute
259,alaskan_malamute
260,alaskan_malamute
261,alaskan_malamute
262,alaskan_malamute
263,alaskan_malamute
264,alaskan_malamute
265,alaskan_malamute
266,alaskan_malamute
267,alaskan_malamute
268,alaskan_malamute
269,alaskan_malamute
270,alaskan_malamute
271,alaskan_malamute
272,alaskan_malamute
273,alaskan_malamute
274,alaskan_malamute
275,alaskan_malamute
276,alaskan_malamute
277,alaskan_malamute
278,alaskan_malamute
279,alaskan_malamute
280,alaskan_malamute
281,alaskan_malamute
282,alaskan_malamute
283,alaskan_malamute
284,alaskan_malamute
285,alaskan_malamute
286,alaskan_malamute
287,alaskan_malamute
288,alaskan_malamute
289,alaskan_malamute
